iter	Passed	Remaining
0	26	2578
1	46	2258
2	64	2100
3	86	2085
4	110	2101
5	135	2123
6	161	2145
7	183	2113
8	213	2161
9	232	2096
10	252	2045
11	273	2003
12	293	1965
13	316	1942
14	336	1904
15	352	1850
16	369	1801
17	385	1758
18	402	1715
19	420	1680
20	439	1653
21	456	1617
22	472	1583
23	490	1552
24	505	1516
25	523	1490
26	539	1459
27	557	1433
28	577	1412
29	603	1407
30	631	1405
31	655	1393
32	683	1387
33	711	1381
34	733	1362
35	757	1346
36	775	1319
37	791	1291
38	807	1263
39	823	1235
40	840	1209
41	856	1183
42	872	1156
43	889	1131
44	905	1106
45	921	1082
46	939	1059
47	960	1040
48	976	1016
49	996	996
50	1016	976
51	1036	956
52	1055	935
53	1071	912
54	1087	889
55	1114	875
56	1138	858
57	1172	848
58	1209	840
59	1253	835
60	1277	816
61	1298	796
62	1318	774
63	1339	753
64	1373	739
65	1392	717
66	1413	696
67	1434	674
68	1452	652
69	1472	631
70	1491	609
71	1508	586
72	1525	564
73	1543	542
74	1565	521
75	1585	500
76	1604	479
77	1623	458
78	1643	436
79	1664	416
80	1686	395
81	1710	375
82	1730	354
83	1751	333
84	1773	312
85	1793	292
86	1822	272
87	1852	252
88	1873	231
89	1894	210
90	1914	189
91	1933	168
92	1950	146
93	1966	125
94	1982	104
95	2004	83
96	2019	62
97	2036	41
98	2053	20
99	2070	0
